"geoid","msa","name","pop","pop_child","pop_inst","house","house_fam","house_fam_child","house_child","house_senior","house_size","house_fam_size","units","units_occ","units_vac","units_vac_rent","units_sale","units_sold","units_vac_vacation","units_vac_other","units_occ_own","units_occ_own_pop","units_occ_own_size","units_occ_rent","units_occ_rent_pop","units_occ_rent_size"
"310M100US23180",23180,"Frankfort, KY  Micro Area",70706,18699,885,29031,18998,8228,9290,6988,2.36,2.89,32291,29031,3260,1184,779,133,254,842,19693,47409,2.41,9338,21128,2.26
"310M100US23240",23240,"Fredericksburg, TX  Micro Area",24837,5901,387,10572,7234,2378,2649,4436,2.31,2.82,12778,10572,2206,247,188,45,1096,615,7969,18626,2.34,2603,5821,2.24
"310M100US23300",23300,"Freeport, IL  Micro Area",47711,12763,694,19845,13015,5098,5677,6120,2.36,2.9,22081,19845,2236,647,353,65,351,786,14272,34457,2.41,5573,12419,2.23
"310M100US23340",23340,"Fremont, NE  Micro Area",36691,9932,638,14990,9800,4233,4595,4547,2.38,2.91,16584,14990,1594,417,191,53,534,380,9894,24451,2.47,5096,11237,2.21
"310M100US23380",23380,"Fremont, OH  Micro Area",60944,17770,803,24182,16616,6933,7730,6495,2.48,2.97,26390,24182,2208,597,395,133,281,766,17866,44904,2.51,6316,15139,2.4
"310M100US23420",23420,"Fresno, CA  Metro Area",930450,325246,12029,289391,214445,112139,128298,67927,3.15,3.63,315531,289391,26140,9836,3884,892,4790,6319,158691,491043,3.09,130700,421884,3.23
"310M100US23460",23460,"Gadsden, AL  Metro Area",104430,28696,1479,42036,28708,11383,13303,12212,2.43,2.97,47454,42036,5418,1542,812,277,356,2358,30348,75231,2.48,11688,27114,2.32
"310M100US23500",23500,"Gaffney, SC  Micro Area",55342,15933,337,21519,14941,6274,7553,5571,2.54,3.03,23997,21519,2478,774,301,112,165,1098,14833,38111,2.57,6686,16524,2.47
"310M100US23540",23540,"Gainesville, FL  Metro Area",264275,56824,4021,106637,57857,23727,26904,21661,2.34,2.92,120073,106637,13436,6602,1948,269,1570,2845,59899,144808,2.42,46738,104419,2.23
"310M100US23580",23580,"Gainesville, GA  Metro Area",179684,55994,1955,60691,45275,21650,24406,14329,2.91,3.35,68825,60691,8134,2573,1666,209,1384,2244,42079,121074,2.88,18612,55469,2.98
"310M100US23620",23620,"Gainesville, TX  Micro Area",38437,10963,566,14513,10321,4228,4862,4250,2.6,3.09,16606,14513,2093,485,191,40,683,678,10295,26892,2.61,4218,10859,2.57
"310M100US23660",23660,"Galesburg, IL  Micro Area",70626,17205,2777,28453,17941,7083,7911,8938,2.3,2.86,31759,28453,3306,742,459,148,817,1093,20092,47622,2.37,8361,17933,2.14
